,precision,recall,f1-score,support
Credit-for-Sex Scam,0.8484848484848485,0.717948717948718,0.7777777777777778,39.0
Home/Room Rental Scam,0.9512195121951219,0.8666666666666667,0.9069767441860465,45.0
Impersonation Scam,0.9375,0.9316770186335404,0.9345794392523364,322.0
Internet Love Scam,0.7908496732026143,0.852112676056338,0.8203389830508475,142.0
Investment Scam,0.6730769230769231,0.660377358490566,0.6666666666666667,53.0
Online Purchase Scam,0.8424242424242424,0.852760736196319,0.8475609756097561,163.0
accuracy,0.8664921465968587,0.8664921465968587,0.8664921465968587,0.8664921465968587
macro avg,0.8405925332306251,0.8135905289986912,0.8256500977572384,764.0
weighted avg,0.8678791481317921,0.8664921465968587,0.866565149492018,764.0
