,precision,recall,f1-score,support
Credit-for-Sex Scam,0.48,0.6153846153846154,0.5393258426966293,39.0
Home/Room Rental Scam,0.78,0.8666666666666667,0.8210526315789474,45.0
Impersonation Scam,0.9647887323943662,0.8509316770186336,0.9042904290429044,322.0
Internet Love Scam,0.8682170542635659,0.7887323943661971,0.8265682656826567,142.0
Investment Scam,0.43157894736842106,0.7735849056603774,0.5540540540540541,53.0
Online Purchase Scam,0.8076923076923077,0.7730061349693251,0.7899686520376176,163.0
accuracy,0.806282722513089,0.806282722513089,0.806282722513089,0.806282722513089
macro avg,0.7220461736197769,0.7780510656776359,0.7392099791821348,764.0
weighted avg,0.840701994634535,0.806282722513089,0.8176244022407987,764.0
