,precision,recall,f1-score,support
Credit-for-Sex Scam,0.29411764705882354,0.1282051282051282,0.17857142857142858,39.0
Home/Room Rental Scam,0.1875,0.06666666666666667,0.09836065573770493,45.0
Impersonation Scam,0.8480243161094225,0.8664596273291926,0.8571428571428571,322.0
Internet Love Scam,0.4427083333333333,0.5985915492957746,0.5089820359281436,142.0
Investment Scam,0.1702127659574468,0.1509433962264151,0.16,53.0
Online Purchase Scam,0.5460122699386503,0.5460122699386503,0.5460122699386503,163.0
accuracy,0.6138743455497382,0.6138743455497382,0.6138743455497382,0.6138743455497382
macro avg,0.41476255539961276,0.39281310627697125,0.39151154121979737,764.0
weighted avg,0.5940546831827306,0.6138743455497382,0.5983585920474854,764.0
