,precision,recall,f1-score,support
Credit-for-Sex Scam,0.09090909090909091,0.05128205128205128,0.06557377049180327,39.0
Home/Room Rental Scam,0.08333333333333333,0.1111111111111111,0.09523809523809525,45.0
Impersonation Scam,0.8986486486486487,0.8260869565217391,0.86084142394822,322.0
Internet Love Scam,0.3463203463203463,0.5633802816901409,0.4289544235924933,142.0
Investment Scam,0.14285714285714285,0.11320754716981132,0.12631578947368421,53.0
Online Purchase Scam,0.36283185840707965,0.25153374233128833,0.29710144927536236,163.0
accuracy,0.5235602094240838,0.5235602094240838,0.5235602094240838,0.5235602094240838
macro avg,0.3208167367459403,0.31943361501769035,0.3123374920032764,764.0
weighted avg,0.5399879974863758,0.5235602094240838,0.5236489935475719,764.0
