,precision,recall,f1-score,support
Credit-for-Sex Scam,0.0,0.0,0.0,39.0
Home/Room Rental Scam,0.0,0.0,0.0,45.0
Impersonation Scam,0.8426966292134831,0.9316770186335404,0.8849557522123894,322.0
Internet Love Scam,0.3285024154589372,0.4788732394366197,0.3896848137535817,142.0
Investment Scam,0.0,0.0,0.0,53.0
Online Purchase Scam,0.3681592039800995,0.4539877300613497,0.40659340659340665,163.0
accuracy,0.5785340314136126,0.5785340314136126,0.5785340314136126,0.5785340314136126
macro avg,0.25655970810875334,0.31075633135525166,0.28020566209322967,764.0
weighted avg,0.4947717380244331,0.5785340314136126,0.5321540851310513,764.0
