,precision,recall,f1-score,support
Credit-for-Sex Scam,0.7894736842105263,0.7692307692307693,0.7792207792207793,39.0
Home/Room Rental Scam,0.72,0.8,0.7578947368421052,45.0
Impersonation Scam,0.9288025889967637,0.8913043478260869,0.9096671949286845,322.0
Internet Love Scam,0.7808219178082192,0.8028169014084507,0.7916666666666666,142.0
Investment Scam,0.5737704918032787,0.660377358490566,0.6140350877192982,53.0
Online Purchase Scam,0.775,0.7607361963190185,0.7678018575851394,163.0
accuracy,0.819371727748691,0.819371727748691,0.819371727748691,0.819371727748691
macro avg,0.7613114471364647,0.7807442622124819,0.7700477204937788,764.0
weighted avg,0.8244443137899335,0.819371727748691,0.8213611772470009,764.0
