,precision,recall,f1-score,support
Credit-for-Sex Scam,0.5192307692307693,0.6923076923076923,0.5934065934065933,39.0
Home/Room Rental Scam,0.7209302325581395,0.6888888888888889,0.7045454545454545,45.0
Impersonation Scam,0.9364548494983278,0.8695652173913043,0.9017713365539451,322.0
Internet Love Scam,0.8688524590163934,0.7464788732394366,0.803030303030303,142.0
Investment Scam,0.4148936170212766,0.7358490566037735,0.5306122448979591,53.0
Online Purchase Scam,0.8376623376623377,0.7914110429447853,0.8138801261829652,163.0
accuracy,0.8010471204188482,0.8010471204188482,0.8010471204188482,0.8010471204188482
macro avg,0.716337377497874,0.7540834618959802,0.7245410097695367,764.0
weighted avg,0.8326383428337623,0.8010471204188482,0.811561499405093,764.0
