,precision,recall,f1-score,support
Credit-for-Sex Scam,0.7333333333333333,0.8461538461538461,0.7857142857142856,39.0
Home/Room Rental Scam,0.8367346938775511,0.9111111111111111,0.8723404255319148,45.0
Impersonation Scam,0.9673202614379085,0.9192546583850931,0.9426751592356687,322.0
Internet Love Scam,0.8435374149659864,0.8732394366197183,0.8581314878892734,142.0
Investment Scam,0.75,0.7924528301886793,0.7706422018348623,53.0
Online Purchase Scam,0.9006211180124224,0.8895705521472392,0.8950617283950617,163.0
accuracy,0.8913612565445026,0.8913612565445026,0.8913612565445026,0.8913612565445026
macro avg,0.8385911369378669,0.8719637391009479,0.8540942147668443,764.0
weighted avg,0.8953713881789152,0.8913612565445026,0.8927138053293171,764.0
