,precision,recall,f1-score,support
Credit-for-Sex Scam,0.44776119402985076,0.7692307692307693,0.5660377358490566,39.0
Home/Room Rental Scam,0.8333333333333334,0.8888888888888888,0.8602150537634408,45.0
Impersonation Scam,0.9781818181818182,0.8354037267080745,0.9011725293132329,322.0
Internet Love Scam,0.7814569536423841,0.8309859154929577,0.8054607508532423,142.0
Investment Scam,0.6140350877192983,0.660377358490566,0.6363636363636364,53.0
Online Purchase Scam,0.8132530120481928,0.8282208588957055,0.8206686930091186,163.0
accuracy,0.8206806282722513,0.8206806282722513,0.8206806282722513,0.8206806282722513
macro avg,0.7446702331591463,0.8021845862844935,0.7649863998586213,764.0
weighted avg,0.8455604974501394,0.8206806282722513,0.8283172773105347,764.0
