,precision,recall,f1-score,support
Credit-for-Sex Scam,0.9285714285714286,0.6666666666666666,0.7761194029850746,39.0
Home/Room Rental Scam,0.9285714285714286,0.8666666666666667,0.896551724137931,45.0
Impersonation Scam,0.9701986754966887,0.9099378881987578,0.939102564102564,322.0
Internet Love Scam,0.9389312977099237,0.8661971830985915,0.9010989010989011,142.0
Investment Scam,0.59375,0.7169811320754716,0.6495726495726496,53.0
Online Purchase Scam,0.7817258883248731,0.9447852760736196,0.8555555555555555,163.0
accuracy,0.8808900523560209,0.8808900523560209,0.8808900523560209,0.8808900523560209
macro avg,0.8569581197790571,0.8285391354632957,0.8363334662421126,764.0
weighted avg,0.8934846696095514,0.8808900523560209,0.8833029579615187,764.0
