,precision,recall,f1-score,support
Credit-for-Sex Scam,0.058823529411764705,0.07692307692307693,0.06666666666666667,39.0
Home/Room Rental Scam,0.057692307692307696,0.06666666666666667,0.061855670103092786,45.0
Impersonation Scam,0.8475177304964538,0.7422360248447205,0.7913907284768212,322.0
Internet Love Scam,0.3045977011494253,0.3732394366197183,0.33544303797468356,142.0
Investment Scam,0.14,0.2641509433962264,0.1830065359477124,53.0
Online Purchase Scam,0.42857142857142855,0.27607361963190186,0.33582089552238803,163.0
accuracy,0.46727748691099474,0.46727748691099474,0.46727748691099474,0.46727748691099474
macro avg,0.3062004495535634,0.2998816280137184,0.29569725578189415,764.0
weighted avg,0.5213625616929738,0.46727748691099474,0.4872806066648674,764.0
