,precision,recall,f1-score,support
Credit-for-Sex Scam,0.5454545454545454,0.6153846153846154,0.5783132530120482,39.0
Home/Room Rental Scam,0.5362318840579711,0.8222222222222222,0.6491228070175439,45.0
Impersonation Scam,0.9344827586206896,0.8416149068322981,0.8856209150326797,322.0
Internet Love Scam,0.7687074829931972,0.795774647887324,0.7820069204152249,142.0
Investment Scam,0.358695652173913,0.6226415094339622,0.45517241379310347,53.0
Online Purchase Scam,0.819672131147541,0.6134969325153374,0.7017543859649122,163.0
accuracy,0.756544502617801,0.756544502617801,0.756544502617801,0.756544502617801
macro avg,0.6605407424079763,0.7185224723792932,0.675331782539252,764.0
weighted avg,0.7959168846315426,0.756544502617801,0.7676567583325383,764.0
