,precision,recall,f1-score,support
Credit-for-Sex Scam,0.8387096774193549,0.6666666666666666,0.7428571428571428,39.0
Home/Room Rental Scam,0.6935483870967742,0.9555555555555556,0.8037383177570094,45.0
Impersonation Scam,0.9730639730639731,0.8975155279503105,0.9337641357027463,322.0
Internet Love Scam,0.7878787878787878,0.9154929577464789,0.8469055374592833,142.0
Investment Scam,0.7547169811320755,0.7547169811320755,0.7547169811320754,53.0
Online Purchase Scam,0.8910256410256411,0.852760736196319,0.8714733542319749,163.0
accuracy,0.8730366492146597,0.8730366492146597,0.8730366492146597,0.8730366492146597
macro avg,0.8231572412694345,0.8404514042079011,0.8255759115233721,764.0
weighted avg,0.8826726721613564,0.8730366492146597,0.8745058214997493,764.0
