,precision,recall,f1-score,support
Credit-for-Sex Scam,0.7380952380952381,0.7948717948717948,0.7654320987654322,39.0
Home/Room Rental Scam,0.9230769230769231,0.8,0.8571428571428571,45.0
Impersonation Scam,0.9171779141104295,0.9285714285714286,0.9228395061728395,322.0
Internet Love Scam,0.8852459016393442,0.7605633802816901,0.8181818181818182,142.0
Investment Scam,0.7446808510638298,0.660377358490566,0.7,53.0
Online Purchase Scam,0.7659574468085106,0.8834355828220859,0.8205128205128206,163.0
accuracy,0.8547120418848168,0.8547120418848168,0.8547120418848168,0.8547120418848168
macro avg,0.8290390457990459,0.8046365908395942,0.8140181834626278,764.0
weighted avg,0.8582192815925278,0.8547120418848168,0.8541924205973072,764.0
