,precision,recall,f1-score,support
Credit-for-Sex Scam,0.8333333333333334,0.7692307692307693,0.8,39.0
Home/Room Rental Scam,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Impersonation Scam,0.9704918032786886,0.9192546583850931,0.9441786283891547,322.0
Internet Love Scam,0.9318181818181818,0.8661971830985915,0.8978102189781022,142.0
Investment Scam,0.746268656716418,0.9433962264150944,0.8333333333333333,53.0
Online Purchase Scam,0.8370786516853933,0.9141104294478528,0.8739002932551321,163.0
accuracy,0.9044502617801047,0.9044502617801047,0.9044502617801047,0.9044502617801047
macro avg,0.8756288725879445,0.8946241370221596,0.8823795698351112,764.0
weighted avg,0.9101803912250169,0.9044502617801047,0.9055686602499006,764.0
