,precision,recall,f1-score,support
Credit-for-Sex Scam,0.7058823529411765,0.6153846153846154,0.6575342465753424,39.0
Home/Room Rental Scam,0.9444444444444444,0.7555555555555555,0.8395061728395062,45.0
Impersonation Scam,0.9428571428571428,0.922360248447205,0.9324960753532182,322.0
Internet Love Scam,0.7610062893081762,0.852112676056338,0.8039867109634552,142.0
Investment Scam,0.6875,0.6226415094339622,0.6534653465346534,53.0
Online Purchase Scam,0.7906976744186046,0.8343558282208589,0.8119402985074627,163.0
accuracy,0.8442408376963351,0.8442408376963351,0.8442408376963351,0.8442408376963351
macro avg,0.8053979839949239,0.7670684055164224,0.7831548084622731,764.0
weighted avg,0.8468763426396589,0.8442408376963351,0.8440201500494976,764.0
