,precision,recall,f1-score,support
Credit-for-Sex Scam,0.37209302325581395,0.41025641025641024,0.3902439024390244,39.0
Home/Room Rental Scam,0.4909090909090909,0.6,0.54,45.0
Impersonation Scam,0.9060402684563759,0.8385093167701864,0.8709677419354839,322.0
Internet Love Scam,0.5477707006369427,0.6056338028169014,0.5752508361204013,142.0
Investment Scam,0.4,0.6792452830188679,0.5034965034965035,53.0
Online Purchase Scam,0.6446280991735537,0.4785276073619632,0.5492957746478873,163.0
accuracy,0.6714659685863874,0.6714659685863874,0.6714659685863874,0.6714659685863874
macro avg,0.5602401970719628,0.6020287367040548,0.5715424597732167,764.0
weighted avg,0.6968656061473482,0.6714659685863874,0.6778498295554515,764.0
