,fold 0,fold 1,fold 2,fold 3,fold 4,time
RNN,33.125001192092896,33.75000059604645,32.083332538604736,31.874999403953552,36.04166805744171,351.68807155799914
LSTM,67.29166507720947,67.29166507720947,71.24999761581421,64.16666507720947,65.83333611488342,1026.238980868
BiLSTM,64.79166746139526,64.79166746139526,69.79166865348816,67.70833134651184,67.29166507720947,1857.9298770270016
