,fold 0,fold 1,fold 2,fold 3,fold 4,time
RNN,58.265137672424316,64.9754524230957,62.847793102264404,64.9754524230957,60.49180030822754,524.9035397029984
LSTM,87.56137490272522,86.08837723731995,86.25204563140869,88.54337334632874,86.22950911521912,1581.915274070001
BiLSTM,86.41571402549744,86.25204563140869,86.41571402549744,88.21603655815125,87.37704753875732,2921.4164253559993
