,fold 0,fold 1,fold 2,fold 3,fold 4,time
RNN,34.99999940395355,31.458333134651184,34.375,34.166666865348816,36.04166805744171,521.794259715
LSTM,65.20833373069763,66.45833253860474,66.04166626930237,63.12500238418579,64.79166746139526,945.239391808
BiLSTM,60.208332538604736,67.29166507720947,68.54166388511658,63.749998807907104,67.29166507720947,1704.4771674170001
