,1,2,3,4,5,time
RNN,35.41666567325592,34.63541567325592,35.67708432674408,30.98958432674408,35.15625,537.8573418169999
LSTM,68.22916865348816,67.70833134651184,66.66666865348816,69.53125,70.05208134651184,1643.781667329
BiLSTM,66.66666865348816,67.96875,67.44791865348816,64.58333134651184,69.53125,2903.235728318001
