,1,2,3,4,5,time
RNN,28.64583432674408,27.60416567325592,29.6875,19.53125,30.98958432674408,711.6082095739999
LSTM,67.44791865348816,64.84375,67.96875,64.0625,69.27083134651184,1557.3907398320002
BiLSTM,66.14583134651184,62.5,66.66666865348816,64.84375,68.48958134651184,2824.9223910660003
