,model,combi,mode,glove,fold_max,mean_acc,time,test_acc
0,RNN,3,2,N,5,27.3,712.0,67.1
1,LSTM,3,2,N,5,66.7,1557.0,90.4
2,BiLSTM,3,2,N,5,65.7,2825.0,88.1
3,RNN,4,2,Y,3,34.4,538.0,60.7
4,LSTM,4,2,Y,5,68.4,1644.0,89.1
5,BiLSTM,4,2,Y,5,67.2,2903.0,87.3
