,model,combi,mode,glove,fold_max,mean_acc,time,test_acc
0,RNN,5,3,N,5,34.2,522.0,52.4
1,LSTM,5,3,N,2,65.1,945.0,75.7
2,BiLSTM,5,3,N,3,65.4,1704.0,80.1
3,RNN,6,3,Y,5,33.4,352.0,46.7
4,LSTM,6,3,Y,3,67.2,1026.0,82.1
5,BiLSTM,6,3,Y,3,66.9,1858.0,80.6
