,fold 0,fold 1,fold 2,fold 3,fold 4,time
RNN,57.77413845062256,60.720133781433105,61.211127042770386,57.446807622909546,57.21311569213867,639.6907811699994
LSTM,87.07037568092346,82.65138864517212,86.9067132472992,85.10638475418091,84.42623019218445,1358.3353980249994
BiLSTM,83.79705548286438,87.2340440750122,85.43371558189392,81.34205937385559,83.93442630767822,2519.5782408079995
